None	RT @DarylBertrand: Blob Ford @midnight #FantasyCelebs http://t.co/aNnXnzcQvV	Thu Mar 26 06:53:32 +0000 2015	None
New York	Corgi Vanguards 1:43 Scale Ford Transit Van Mk1 Dirty Barn Find Style    - Full read by eB… http://t.co/kTCzpaPIAu http://t.co/fMbcK2fL00	Thu Mar 26 06:53:32 +0000 2015	United States
None	RT @verge: Watch a Tesla P85D drag race against a Ferrari F12berlinetta http://t.co/kjveXva9Bi http://t.co/90aNLfgnQa	Thu Mar 26 06:53:45 +0000 2015	Israel
Delhi	RT @EconomicTimes: #Ford aims to triple exports from India with $1-bn plant http://t.co/xXYyx3ScIa	Thu Mar 26 06:53:47 +0000 2015	India
Michigan	I liked a @YouTube video http://t.co/6G9alCySLj Ferrari Extreme	Thu Mar 26 06:53:54 +0000 2015	United States
Louisiana	“There is no man living that can not do more than he thinks he can.” –Henry Ford	Thu Mar 26 06:54:00 +0000 2015	United States
Maharashtra	Ford aims to triple exports from India with $1 bn plant - Hindustan Times http://t.co/4s1dkHEyqJ cc:doctormujumdar.in	Thu Mar 26 06:54:05 +0000 2015	India
New South Wales	Smartarse #older chick #female sleuth seeking #mystery and #suspense. Drives a #Ferrari and loves all things #Italian http://t.co/zYoSivHDEC	Thu Mar 26 06:54:08 +0000 2015	Australia
Colorado	#FantasyCelebs @midnight Harrison Ford Prefect	Thu Mar 26 06:54:09 +0000 2015	United States
New York	Corgi Vanguards 1:43 Scale Ford Transit Van Mk1 Dirty Barn Find Style    - Full read by eB… http://t.co/Ge6gEV8jJF http://t.co/uYNy6HerGU	Thu Mar 26 06:54:10 +0000 2015	United States
Aquitaine	I'm selling my 2006 Ford F-150 XL 2dr Regular Cab 4WD Styleside 6.5 ft. SB - $8,245! http://t.co/I7ZupzOkQS via @cargurus	Thu Mar 26 06:54:10 +0000 2015	France
Florida	Boxeo Telemundo Ford opponent announced; Daniel Lozano to fight David Carmona - http://t.co/9lnqFnb982	Thu Mar 26 06:54:11 +0000 2015	United States
Pennsylvania	@LoboLoc0 @rowflameo And who doesn't like Stingrays? Ford "fanboys" with their heads up their asses who aren't real gearheads that's who.	Thu Mar 26 06:54:12 +0000 2015	United States
New York	Corgi Vanguards 1:43 Scale Ford Transit Van Mk1 Dirty Barn Find Style    - Full read by eB… http://t.co/Mf1Era5bW0 http://t.co/4vY1o5jQQE	Thu Mar 26 06:54:20 +0000 2015	United States
District of Columbia	RT @TPS_SECURITY: Card Skimmers working in Rosettenville- White ford Fiesta with 4 bravo males	Thu Mar 26 06:54:23 +0000 2015	United States
Texas	Gonna go to access ford when I get off. 🌚😁	Thu Mar 26 06:54:29 +0000 2015	United States
None	Ford Sanand Plant inaugurated by Gujarat CM Anandiben Patel, rolls out first Figo Aspire http://t.co/HTw4lYLxq5	Thu Mar 26 06:54:35 +0000 2015	India
None	Ford Sanand Plant inaugurated by Gujarat CM Anandiben Patel, rolls out first Figo Aspire http://t.co/o7oCz1V0j8	Thu Mar 26 06:54:36 +0000 2015	India
None	Ford aims to triple exports from India with $1 bln plant: SANAND, Gujarat March 26 (Reuters) - Ford Motor Co has… http://t.co/x99Y3JYPz6	Thu Mar 26 06:54:38 +0000 2015	Canada
None	RT @of_bacon: Five ways our bacon is just like a Ferrari. http://t.co/RbMjdlBk77	Thu Mar 26 06:54:39 +0000 2015	None
