state,model,value
WY,FORD FREESTAR,2
WY,MASERATI COUPE,6
WY,YORK KIA,2
WY,MITSUBISHI,6
WY,GMC,12
WY,LEXUS RX,6
WY,HONDA BLOOMFIELD,6
WY,BUGATTI,2
WY,CHEVROLET TAHOE,10
WY,DODGE CARAVAN,-2
WY,HYUNDAI ELANTRA,10
WY,LINCOLN NAVIGATOR,2
WY,CHEVROLET MALIBU,2
WY,AUDI S6,6
WY,AUDI S4,6
WY,MERCURY MARINER,6
WY,GEO TRACKER,6
WY,MERCURY GRAND MARQUIS,2
WY,FORD MOTOR,6
WY,MERCEDES-BENZ C-CLASS,6
WY,CHEVROLET COLORADO,2
WY,BMW,58
WY,CHRYSLER,8
WY,LAMBORGHINI,2
WY,TESLA VENTURES,2
WY,CHEVROLET,8
WY,CHEVROLET TRAILBLAZER,8
WY,DODGE CALIBER,2
WY,MERCURY MOUNTAINEER,2
WY,CHRYSLER PRODUCT DESIGN OFFICE,6
WY,PLYMOUTH FARMERS,2
WY,GEO,2
WY,NISSAN ALTIMA,24
WY,HYUNDAI,14
WY,ISUZU,6
WY,FORD ESCAPE,2
WY,HONDA CR-V,14
WY,FORD E-SERIES,2
WY,PORSCHE,4
WY,TESLA,22
WY,SUBARU FORESTER,6
WY,PONTIAC GRAND AM,4
WY,MORGAN MOTORCYCLE SHOP,8
WY,CJ WILSON MAZDA,2
WY,VOLKSWAGEN NEW BEETLE,2
WY,VOLVO 850,6
WY,DODGE,8
WY,TOYOTA WILL,2
WY,INFINITI FX35,2
WY,MORGAN MANUFACTURING,14
WY,NISSAN SENTRA,2
WY,CADILLAC CTS,4
WY,CHRYSLER TOWN AND COUNTRY,4
WY,MORGAN MFG.,2
WY,SUBARU,2
WY,ACURA,4
WY,SUZUKI FORENZA,4
WY,SATURN ION,4
WY,FORD MOTOR COMPANY,6
WY,SUZUKI,2
WY,VOLKSWAGEN,10
WY,AUDI,16
WY,MERCEDES-BENZ,6
WY,CHEVROLET SILVERADO,12
WY,CADILLAC RECORDS,6
WY,ACURA TL,2
WY,TOYOTA OWNERS,6
WY,SHELBY GT350,4
WY,FIAT,6
WY,HONDA HR-V,2
WY,MITSUBISHI LANCER EVOLUTION,6
WY,HONDA PILOT,0
WY,MAZDA CX-5,2
WY,JEEP,2
WY,MAZDA,10
WY,NISSAN GT-R,2
WY,GMC ACADIA,12
WY,FORD,86
WY,VOLVO,6
WY,CHEVROLET S-10,2
WY,CADILLAC,14
WY,JAGUAR S-TYPE,6
WY,NISSAN,34
WY,HONDA ODYSSEY,4
WY,CHEVORLET,-2
WY,TOYOTA SIENNA,6
WY,PONTIAC VIBE,2
WY,APTERA SOFTWARE,2
WY,FORD MOTOR CO.,0
WY,GMC SIERRA,6
WY,FORD F-350,20
WY,VOLKSWAGEN GTI,6
WY,DODGE JOURNEY,2
